SCAN_ID,SSID,BSSID,CHANNEL,RSSI
5,Porto 2_EXT,60:A4:B7:35:07:64,2,-93
5,LIVE TIM_6932_2G,D4:F7:56:81:8C:D2,11,-93
5,CURUMIN,80:2D:1A:51:7B:E2,11,-93
5,#CLARO-WIFI,3E:F9:F0:26:69:06,3,-94
5,#CLARO-WIFI,3E:F9:F0:68:7A:0B,3,-94
5,#CLARO-WIFI,3A:1F:48:54:4C:E0,6,-94
5,CLARO_NET,24:E4:CE:8C:77:89,11,-94
5,VIVOFIBRA-0F08,84:0B:BB:25:0F:08,11,-94
5,TiagoSerra,3C:F9:F0:68:7A:FB,2,-95
5,Diezes,7A:8C:B5:21:91:32,2,-95
5,FamiliaCapote,80:2D:1A:1F:20:3C,8,-95
5,SIARA,48:96:D9:57:03:3E,10,-95
5,LIVE TIM_32A0_2G,EC:BE:DD:10:32:A4,11,-95
END_SCAN
6,TFMARQUES ,3E:64:CF:2C:34:3A,4,-58
6,REDE TESTE AMAZON ON,3E:64:CF:4C:34:3A,4,-59
6,Celso_2G,E8:D2:FF:A5:B5:9B,7,-78
6,RANDY2G,08:C7:F5:2F:2B:64,1,-79
6,#CLARO-WIFI,EA:D2:FF:A5:B7:9C,7,-79
6,CHIODINI,24:E4:CE:8C:C0:C1,11,-83
6,Medeiros85,08:C7:F5:03:20:F2,1,-84
6,CHIODINI-IoT,82:E4:CE:8C:C0:C4,11,-85
6,MANUELA,80:2D:1A:4F:EA:82,6,-86
6,EduCarla_Mesh,80:2D:1A:50:16:B6,6,-88
6,TIM_ULTRAFIBRA_77AC_2G,16:94:48:10:77:B0,10,-88
6,SIARA,48:96:D9:57:03:3E,10,-88
6,LIVE TIM_D610_2G,EC:BE:DD:12:D6:14,1,-89
6,1301T2,D8:E8:44:AB:28:6E,8,-89
6,#CLARO-WIFI,3A:1F:48:54:4C:50,11,-89
6,lrhome_2G,58:2F:F7:9B:67:9E,1,-90
6,LIVE TIM_R3W3_2G,A0:B5:3C:1C:6E:9A,1,-90
6,#CLARO-WIFI,5A:2F:F7:9B:69:9F,1,-90
6,REDE TESTE AMAZON ON,3E:64:CF:4C:30:8E,4,-90
6,Ap1004TPLK,DE:62:79:25:48:6E,8,-90
6,fernandaRafael,3C:F9:F0:A6:69:06,3,-91
6,TFMARQUES ,3E:64:CF:2C:30:8E,4,-91
6,DULCEMOURA,30:1F:48:56:5A:80,6,-91
6,THIAGO ROCHA ,9C:53:22:8E:BA:AA,7,-91
6,fernandaRafael,30:1F:48:54:4C:50,11,-91
6,CURUMIN,80:2D:1A:51:7B:E2,11,-91
6,#CLARO-WIFI,3E:F9:F0:68:7A:FB,2,-92
6,APTO_501,44:3B:32:45:1D:DC,6,-92
6,lola,80:2D:1A:50:18:8A,6,-92
6,FamiliaCapote,80:2D:1A:1F:20:3C,8,-92
6,MariaLuiza_2G,08:C7:F5:03:7A:8F,1,-93
6,Diezes,7A:8C:B5:21:91:32,2,-93
6,#CLARO-WIFI,3E:F9:F0:68:7A:0B,3,-93
6,FAMILIA_DONIZETI,D8:E8:44:AB:53:02,9,-93
6,LIVE TIM_6932_2G,D4:F7:56:81:8C:D2,11,-93
6,TFMarques_2G,B4:F2:67:15:2E:B8,1,-94
6,#CLARO-WIFI,3E:F9:F0:26:69:06,3,-94
6,VIVOFIBRA-0F08,84:0B:BB:25:0F:08,11,-95
6,CLARO_NET,24:E4:CE:8C:77:89,11,-95
6,LIVE TIM_32A0_2G,EC:BE:DD:10:32:A4,11,-96
END_SCAN
7,REDE TESTE AMAZON ON,3E:64:CF:4C:34:3A,4,-58
7,TFMARQUES ,3E:64:CF:2C:34:3A,4,-59
7,RANDY2G,08:C7:F5:2F:2B:64,1,-76
7,Medeiros85,08:C7:F5:03:20:F2,1,-82
7,#CLARO-WIFI,EA:D2:FF:A5:B7:9C,7,-82
7,Celso_2G,E8:D2:FF:A5:B5:9B,7,-83
7,CHIODINI,24:E4:CE:8C:C0:C1,11,-84
7,CHIODINI-IoT,82:E4:CE:8C:C0:C4,11,-84
7,MANUELA,80:2D:1A:4F:EA:82,6,-86
7,LIVE TIM_D610_2G,EC:BE:DD:12:D6:14,1,-87
7,TFMARQUES ,3E:64:CF:2C:30:8E,4,-88
7,Ap1004TPLK,DE:62:79:25:48:6E,8,-88
7,#CLARO-WIFI,5A:2F:F7:9B:69:9F,1,-89
7,lrhome_2G,58:2F:F7:9B:67:9E,1,-89
7,CURUMIN,80:2D:1A:51:7B:E2,11,-89
7,LIVE TIM_R3W3_2G,A0:B5:3C:1C:6E:9A,1,-90
7,fernandaRafael,3C:F9:F0:A6:69:06,3,-90
7,REDE TESTE AMAZON ON,3E:64:CF:4C:30:8E,4,-90
7,EduCarla_Mesh,80:2D:1A:50:16:B6,6,-90
7,APTO_501,44:3B:32:45:1D:DC,6,-90
7,THIAGO ROCHA ,9C:53:22:8E:BA:AA,7,-90
7,1301T2,D8:E8:44:AB:28:6E,8,-90
7,#CLARO-WIFI,3A:1F:48:54:4C:50,11,-90
7,DULCEMOURA,30:1F:48:56:5A:80,6,-91
7,lola,80:2D:1A:50:18:8A,6,-91
7,TIM_ULTRAFIBRA_77AC_2G,16:94:48:10:77:B0,10,-91
7,fernandaRafael,30:1F:48:54:4C:50,11,-91
7,#CLARO-WIFI,3E:F9:F0:26:69:06,3,-92
7,#CLARO-WIFI,3A:1F:48:54:4C:E0,6,-92
7,SIARA,48:96:D9:57:03:3E,10,-92
7,MariaLuiza_2G,08:C7:F5:03:7A:8F,1,-93
7,#CLARO-WIFI,3E:F9:F0:68:7A:0B,3,-93
7,Smvb,D8:31:39:8E:17:80,4,-93
7,VIVOFIBRA-0F08,84:0B:BB:25:0F:08,11,-93
7,LIVE TIM_6932_2G,D4:F7:56:81:8C:D2,11,-95
7,LIVE TIM_32A0_2G,EC:BE:DD:10:32:A4,11,-96
7,CLARO_NET,24:E4:CE:8C:77:89,11,-98
END_SCAN
8,TFMARQUES ,3E:64:CF:2C:34:3A,4,-61
8,REDE TESTE AMAZON ON,3E:64:CF:4C:34:3A,4,-61
8,RANDY2G,08:C7:F5:2F:2B:64,1,-78
8,Celso_2G,E8:D2:FF:A5:B5:9B,7,-80
8,#CLARO-WIFI,EA:D2:FF:A5:B7:9C,7,-81
8,Medeiros85,08:C7:F5:03:20:F2,1,-83
8,CHIODINI-IoT,82:E4:CE:8C:C0:C4,11,-86
8,LIVE TIM_D610_2G,EC:BE:DD:12:D6:14,1,-87
8,CHIODINI,24:E4:CE:8C:C0:C1,11,-87
8,REDE TESTE AMAZON ON,3E:64:CF:4C:30:8E,4,-89
8,MANUELA,80:2D:1A:4F:EA:82,6,-89
8,lrhome_2G,58:2F:F7:9B:67:9E,1,-90
8,#CLARO-WIFI,5A:2F:F7:9B:69:9F,1,-90
8,TFMARQUES ,3E:64:CF:2C:30:8E,4,-90
8,EduCarla_Mesh,80:2D:1A:50:16:B6,6,-90
8,Ap1004TPLK,DE:62:79:25:48:6E,8,-90
8,VIVOFIBRA-EF78_EXT,B0:BE:76:38:A1:F3,1,-91
8,LIVE TIM_R3W3_2G,A0:B5:3C:1C:6E:9A,1,-91
8,fernandaRafael,30:1F:48:54:4C:50,11,-91
8,#CLARO-WIFI,3A:1F:48:54:4C:50,11,-91
8,CURUMIN,80:2D:1A:51:7B:E2,11,-92
8,THIAGO ROCHA ,9C:53:22:8E:BA:AA,7,-93
8,TIM_ULTRAFIBRA_77AC_2G,16:94:48:10:77:B0,10,-93
8,SIARA,48:96:D9:57:03:3E,10,-93
8,LIVE TIM_6932_2G,D4:F7:56:81:8C:D2,11,-93
8,MariaLuiza_2G,08:C7:F5:03:7A:8F,1,-94
8,Porto 2_EXT,60:A4:B7:35:07:64,2,-94
8,#CLARO-WIFI,3A:1F:48:54:4C:E0,6,-94
8,CLARO_NET,24:E4:CE:8C:77:89,11,-94
8,MariaLuiza_2G-IoT,0A:C7:F5:03:7A:90,1,-95
8,DULCEMOURA,30:1F:48:56:5A:80,6,-95
8,APTO_501,44:3B:32:45:1D:DC,6,-95
8,VIVOFIBRA-0F08,84:0B:BB:25:0F:08,11,-96
8,LIVE TIM_32A0_2G,EC:BE:DD:10:32:A4,11,-97
END_SCAN
9,TFMARQUES ,3E:64:CF:2C:34:3A,4,-60
9,REDE TESTE AMAZON ON,3E:64:CF:4C:34:3A,4,-61
9,RANDY2G,08:C7:F5:2F:2B:64,1,-79
9,Celso_2G,E8:D2:FF:A5:B5:9B,7,-81
9,#CLARO-WIFI,EA:D2:FF:A5:B7:9C,7,-81
9,Medeiros85,08:C7:F5:03:20:F2,1,-85
9,CHIODINI,24:E4:CE:8C:C0:C1,11,-85
9,CHIODINI-IoT,82:E4:CE:8C:C0:C4,11,-85
9,Familia Nicolau Hübner,CC:32:E5:04:BB:F2,5,-87
9,MANUELA,80:2D:1A:4F:EA:82,6,-87
9,LIVE TIM_D610_2G,EC:BE:DD:12:D6:14,1,-88
9,EduCarla_Mesh,80:2D:1A:50:16:B6,6,-89
9,Ap1004TPLK,DE:62:79:25:48:6E,8,-89
9,lrhome_2G,58:2F:F7:9B:67:9E,1,-90
9,LIVE TIM_R3W3_2G,A0:B5:3C:1C:6E:9A,1,-90
9,#CLARO-WIFI,5A:2F:F7:9B:69:9F,1,-90
9,REDE TESTE AMAZON ON,3E:64:CF:4C:30:8E,4,-90
9,APTO_501,44:3B:32:45:1D:DC,6,-90
9,1301T2,D8:E8:44:AB:28:6E,8,-90
9,fernandaRafael,3C:F9:F0:A6:69:06,3,-91
9,TFMARQUES ,3E:64:CF:2C:30:8E,4,-91
9,Bichinho-mesh,38:16:5A:48:97:84,7,-91
9,fernandaRafael,30:1F:48:54:4C:50,11,-91
9,#CLARO-WIFI,3A:1F:48:54:4C:50,11,-91
9,#CLARO-WIFI,3A:1F:48:54:4C:E0,6,-92
9,VIVOFIBRA-0F08,84:0B:BB:25:0F:08,11,-92
9,CURUMIN,80:2D:1A:51:7B:E2,11,-92
9,#CLARO-WIFI,3E:F9:F0:26:69:06,3,-93
9,THIAGO ROCHA ,9C:53:22:8E:BA:AA,7,-93
9,LIVE TIM_32A0_2G,EC:BE:DD:10:32:A4,11,-93
9,MariaLuiza_2G-IoT,0A:C7:F5:03:7A:90,1,-94
9,Maison_liberte,80:85:44:A4:4A:64,3,-94
9,TIM_ULTRAFIBRA_77AC_2G,16:94:48:10:77:B0,10,-94
9,SIARA,48:96:D9:57:03:3E,10,-94
9,MariaLuiza_2G,08:C7:F5:03:7A:8F,1,-95
9,#CLARO-WIFI,3E:F9:F0:68:7A:0B,3,-95
9,LIVE TIM_6932_2G,D4:F7:56:81:8C:D2,11,-95
9,DULCEMOURA,30:1F:48:56:5A:80,6,-96
9,TIM_ULTRAFIBRA_345C_2G,16:94:48:16:34:60,6,-96
9,Ap1004TPLK,DE:62:79:25:48:82,8,-96
END_SCAN
10,REDE TESTE AMAZON ON,3E:64:CF:4C:34:3A,4,-59
10,TFMARQUES ,3E:64:CF:2C:34:3A,4,-61
10,#CLARO-WIFI,EA:D2:FF:A5:B7:9C,7,-76
10,Celso_2G,E8:D2:FF:A5:B5:9B,7,-77
10,RANDY2G,08:C7:F5:2F:2B:64,1,-78
10,Medeiros85,08:C7:F5:03:20:F2,1,-84
10,Familia Nicolau Hübner,CC:32:E5:04:BB:F2,5,-84
10,CHIODINI-IoT,82:E4:CE:8C:C0:C4,11,-84
10,CHIODINI,24:E4:CE:8C:C0:C1,11,-86
10,MANUELA,80:2D:1A:4F:EA:82,6,-88
10,LIVE TIM_D610_2G,EC:BE:DD:12:D6:14,1,-89
10,VIVOFIBRA-EF78_EXT,B0:BE:76:38:A1:F3,1,-89
10,#CLARO-WIFI,5A:2F:F7:9B:69:9F,1,-89
10,TFMARQUES ,3E:64:CF:2C:30:8E,4,-89
10,DULCEMOURA,30:1F:48:56:5A:80,6,-89
10,lrhome_2G,58:2F:F7:9B:67:9E,1,-90
10,LIVE TIM_R3W3_2G,A0:B5:3C:1C:6E:9A,1,-91
10,#CLARO-WIFI,3A:1F:48:54:4C:E0,6,-91
10,EduCarla_Mesh,80:2D:1A:50:16:B6,6,-91
10,fernandaRafael,30:1F:48:54:4C:50,11,-91
10,CURUMIN,80:2D:1A:51:7B:E2,11,-91
10,#CLARO-WIFI,3E:F9:F0:26:69:06,3,-92
10,REDE TESTE AMAZON ON,3E:64:CF:4C:30:8E,4,-92
10,APTO_501,44:3B:32:45:1D:DC,6,-92
10,SIARA,48:96:D9:57:03:3E,10,-92
10,#CLARO-WIFI,3A:1F:48:54:4C:50,11,-92
10,MariaLuiza_2G,08:C7:F5:03:7A:8F,1,-93
10,fernandaRafael,3C:F9:F0:A6:69:06,3,-93
10,Bichinho-mesh,38:16:5A:48:97:84,7,-93
10,TIM_ULTRAFIBRA_77AC_2G,16:94:48:10:77:B0,10,-93
10,#CLARO-WIFI,3E:F9:F0:68:7A:0B,3,-94
10,Maison_liberte,80:85:44:A4:4A:64,3,-94
10,THIAGO ROCHA ,9C:53:22:8E:BA:AA,7,-94
10,LIVE TIM_32A0_2G,EC:BE:DD:10:32:A4,11,-94
10,LIVE TIM_6932_2G,D4:F7:56:81:8C:D2,11,-94
10,CLARO_NET,24:E4:CE:8C:77:89,11,-94
10,VIVOFIBRA-0F08,84:0B:BB:25:0F:08,11,-95
10,lola,80:2D:1A:50:18:8A,6,-97
END_SCAN
11,REDE TESTE AMAZON ON,3E:64:CF:4C:34:3A,4,-59
11,TFMARQUES ,3E:64:CF:2C:34:3A,4,-59
11,#CLARO-WIFI,EA:D2:FF:A5:B7:9C,7,-77
11,Celso_2G,E8:D2:FF:A5:B5:9B,7,-78
11,RANDY2G,08:C7:F5:2F:2B:64,1,-80
11,LIVE TIM_D610_2G,EC:BE:DD:12:D6:14,1,-82
11,Medeiros85,08:C7:F5:03:20:F2,1,-84
11,Familia Nicolau Hübner,CC:32:E5:04:BB:F2,5,-85
11,CHIODINI-IoT,82:E4:CE:8C:C0:C4,11,-86
11,CHIODINI,24:E4:CE:8C:C0:C1,11,-87
11,MANUELA,80:2D:1A:4F:EA:82,6,-88
11,Ap1004TPLK,DE:62:79:25:48:6E,8,-89
11,LIVE TIM_R3W3_2G,A0:B5:3C:1C:6E:9A,1,-90
11,TFMARQUES ,3E:64:CF:2C:30:8E,4,-90
11,EduCarla_Mesh,80:2D:1A:50:16:B6,6,-91
11,DULCEMOURA,30:1F:48:56:5A:80,6,-91
11,VIVOFIBRA-WIFI6-37D8,E8:45:8B:63:37:D8,6,-91
11,lrhome_2G,58:2F:F7:9B:67:9E,1,-92
11,REDE TESTE AMAZON ON,3E:64:CF:4C:30:8E,4,-92
11,#CLARO-WIFI,3A:1F:48:54:4C:E0,6,-92
11,Bichinho-mesh,38:16:5A:48:97:84,7,-92
11,#CLARO-WIFI,3A:1F:48:54:4C:50,11,-92
11,MariaLuiza_2G,08:C7:F5:03:7A:8F,1,-93
11,MariaLuiza_2G-IoT,0A:C7:F5:03:7A:90,1,-93
11,fernandaRafael,3C:F9:F0:A6:69:06,3,-93
11,#CLARO-WIFI,3E:F9:F0:26:69:06,3,-93
11,THIAGO ROCHA ,9C:53:22:8E:BA:AA,7,-93
11,TIM_ULTRAFIBRA_77AC_2G,16:94:48:10:77:B0,10,-93
11,fernandaRafael,30:1F:48:54:4C:50,11,-93
11,CURUMIN,80:2D:1A:51:7B:E2,11,-93
11,APTO_501,44:3B:32:45:1D:DC,6,-94
11,TIM_ULTRAFIBRA_345C_2G,16:94:48:16:34:60,6,-94
11,1301T2,D8:E8:44:AB:28:6E,8,-94
11,SIARA,48:96:D9:57:03:3E,10,-94
11,LIVE TIM_6932_2G,D4:F7:56:81:8C:D2,11,-94
11,VIVOFIBRA-0F08,84:0B:BB:25:0F:08,11,-94
11,FamiliaCapote,80:2D:1A:1F:20:3C,8,-95
